airbnb_ID,District,Zipcode,latitude,longitude,room_type,price
6369,chamartin,28002.0,4045724,-367688,Private room,60
21853,latina,28044.0,4040381,-37413,Private room,31
23001,arganzuela,28045.0,403884,-369511,Entire home/apt,50
24805,centro,28013.0,4042183,-370529,Entire home/apt,92
26825,arganzuela,28045.0,4038975,-369018,Private room,26
28200,arganzuela,28045.0,403886,-369492,Entire home/apt,85
30320,centro,28013.0,4041476,-370418,Entire home/apt,65
30959,centro,28013.0,4041259,-370105,Entire home/apt,54
37859,centro,28013.0,4041844,-371073,Entire home/apt,1400
40718,centro,28013.0,4041969,-369736,Entire home/apt,79
40916,centro,28013.0,4042247,-370577,Entire home/apt,90
47957,salamanca,28001.0,4042792,-367682,Entire home/apt,82
59923,centro,28013.0,4042103,-371038,Private room,40
62423,centro,28013.0,4041884,-369655,Private room,24
64131,fuencarral-el pardo,,4048543,-372318,Private room,21
70059,centro,28013.0,4042381,-371038,Entire home/apt,51
70316,centro,28013.0,4042191,-371038,Entire home/apt,75
72150,centro,28013.0,404115,-370449,Entire home/apt,139
74352,centro,28013.0,4040864,-370884,Entire home/apt,80
75609,centro,28013.0,4040892,-369697,Entire home/apt,63
82481,salamanca,28001.0,4042342,-368123,Entire home/apt,63
84719,centro,28013.0,4040866,-370374,Entire home/apt,46
86042,centro,28013.0,4040939,-369812,Entire home/apt,125
89954,centro,28013.0,4041358,-371353,Entire home/apt,114
92920,centro,28013.0,4042491,-369552,Private room,70
93100,centro,28013.0,4042378,-370248,Private room,45
96807,puente de vallecas,28038.0,4038159,-365534,Private room,31
100411,fuencarral-el pardo,,4050044,-367032,Entire home/apt,60
101507,centro,28013.0,4040786,-370223,Entire home/apt,50
102040,ciudad lineal,28037.0,4043422,-364196,Private room,19
102194,centro,28013.0,4042318,-369748,Entire home/apt,96
103541,chamberi,28010.0,4043815,-369764,Entire home/apt,70
114854,chamberi,28010.0,404382,-369389,Entire home/apt,70
119389,centro,28013.0,4040919,-370908,Entire home/apt,105
120293,centro,28013.0,4041143,-370912,Private room,20
120762,centro,28013.0,4042231,-370482,Private room,32
123864,centro,28013.0,4041001,-370704,Entire home/apt,44
127819,centro,28013.0,404141,-370289,Entire home/apt,148
132428,centro,28013.0,4041012,-369709,Private room,30
136058,villaverde,28021.0,4035761,-369723,Private room,21
154224,centro,28013.0,4041392,-370049,Entire home/apt,69
163429,chamberi,28010.0,4043765,-370408,Entire home/apt,65
167183,hortaleza,28043.0,4045575,-364912,Private room,45
170750,centro,28013.0,4042386,-370489,Entire home/apt,91
171144,centro,28013.0,4041678,-371156,Entire home/apt,120
177523,centro,28013.0,4042876,-370379,Entire home/apt,72
177846,centro,28013.0,4042399,-370389,Private room,20
177850,centro,28013.0,4042609,-370551,Private room,18
196197,centro,28013.0,4041235,-370967,Entire home/apt,55
199016,centro,28013.0,404257,-370383,Private room,28
199201,centro,28013.0,4041319,-37024,Private room,75
200828,salamanca,28001.0,4043201,-368358,Entire home/apt,214
201033,centro,28013.0,404221,-370685,Private room,40
204570,centro,28013.0,404152,-369668,Entire home/apt,80
205199,centro,28013.0,4042116,-370384,Entire home/apt,85
207275,moncloa-aravaca,,4042829,-372119,Private room,50
209373,centro,28013.0,4041126,-370347,Private room,30
209780,carabanchel,28025.0,4037935,-373162,Entire home/apt,94
211444,hortaleza,28043.0,4045959,-364699,Private room,55
217674,centro,28013.0,4041538,-370741,Entire home/apt,101
219303,centro,28013.0,4042377,-370241,Private room,19
225462,centro,28013.0,4041366,-369788,Private room,30
225489,chamberi,28010.0,4043595,-370706,Private room,25
229664,centro,28013.0,404078,-370085,Entire home/apt,43
231861,chamberi,28010.0,4043699,-370037,Private room,61
240128,carabanchel,28025.0,403924,-372344,Private room,25
256004,centro,28013.0,4041428,-370767,Entire home/apt,80
260656,centro,28013.0,4040743,-370114,Entire home/apt,88
260951,hortaleza,28043.0,4047189,-362966,Entire home/apt,95
261878,centro,28013.0,4042269,-370378,Entire home/apt,67
263748,hortaleza,28043.0,4047142,-362881,Entire home/apt,64
268275,centro,28013.0,4041194,-370339,Entire home/apt,79
280733,centro,28013.0,4042457,-370802,Entire home/apt,110
281224,centro,28013.0,4041685,-370882,Entire home/apt,68
