Name,District_ID,Zipcode,District,coordinate_X,coordinate_Y,latitude,longitude,Type
Mercado municipal de Antón Martín,1,28013,centro,440710,4473658,40411422452721504,-36988110198857104,market
Mercado municipal de Barceló,1,28013,centro,440683,4475365,4042680707802060,-36992767323438304,market
Mercado municipal de Los Mostenses,1,28013,centro,439862,4474976,40423243776104,-37089296405152096,market
Mercado municipal de San Antón,1,28013,centro,440825,4474835,40422042629795200,-3697565301846020,market
Mercado municipal de San Fernando (Embajadores),1,28013,centro,440274,4473236,40407598710636000,-37039098865773904,market
Mercado municipal de la Cebada,1,28013,centro,439780,4473650,4041129262886910,-37097706603113504,market
Mercado municipal de Guillermo de Osma,2,28045,arganzuela,441042,4472034,403949437306698,-36960129848486096,market
Mercado municipal de Santa María de la Cabeza,2,28045,arganzuela,440832,4472713,4040291810276810,-36972853519882400,market
Mercado municipal de Ibiza,3,28007,retiro,442533,4474392,4041817157699020,-3677392762224420,market
Mercado municipal de Pacífico,3,28007,retiro,442677,4472855,4040433546207180,-36755452423143400,market
Mercado municipal de Diego de León,4,28001,salamanca,442116,4476236,4043475434372190,-36824756273454704,market
Mercado municipal de La Guindalera,4,28001,salamanca,443083,4476157,4043410047219340,-3671056299540890,market
Mercado municipal de la Paz,4,28001,salamanca,441826,4475458,4042772557961970,-36858115591230600,market
Mercado municipal de Chamartín,5,28002,chamartin,442509,4478737,40457311867437296,-3678056977192460,market
Mercado municipal de Prosperidad,5,28002,chamartin,442833,4477298,404443619472988,-3674118079721270,market
Mercado municipal de San Cristóbal,5,28002,chamartin,442053,4481294,4047843331496170,-36849469591835400,market
Mercado municipal de Maravillas,6,28020,tetuan,440347,4477839,40449060922663600,-37034696566148400,market
Mercado municipal de San Enrique,6,28020,tetuan,440716,4478818,40456033970000704,-37004877796909504,market
Mercado municipal de Tetuán,6,28020,tetuan,440752,4479160,404609899402179,-36988290271823696,market
Mercado municipal de la Remonta,6,28020,tetuan,440972,4479488,40463969366476400,-3696264958640330,market
Mercado municipal de Chamberí,7,28010,chamberi,440811,4476407,4043620300971710,-36978649027841800,market
Mercado municipal de Guzmán el Bueno,7,28010,chamberi,439398,4476280,4043495717590030,-37145114819530304,market
Mercado municipal de Vallehermoso,7,28010,chamberi,439904,4476186,4043413801893940,-37085488662890896,market
Mercado municipal de Argüelles,9,28008,moncloa-aravaca,439107,4475866,40431197427341104,-37179024231789400,market
Mercado municipal de Valdezarza,9,28008,moncloa-aravaca,438998,4479816,4046677250917080,-37195786099544000,market
Mercado municipal de Alto de Extremadura,10,28044,latina,437622,4473300,4040797174906470,-37351687013396304,market
Mercado municipal de Las Águilas,10,28044,latina,434775,4469966,4037771961975460,-37683778002246600,market
Mercado municipal de Tirso de Molina,10,28044,latina,438399,4473847,4041295729782620,-37260532291020600,market
Mercado municipal de Puerta Bonita,11,28025,carabanchel,437351,4470870,40386069987981800,-37381115427324496,market
Mercado municipal de San Isidro,11,28025,carabanchel,438448,4471494,4039177425768850,-37252453825412200,market
Mercado municipal de Jesús del Gran Poder,12,28026,usera,440494,4470881,4038639943136540,-37010971746900304,market
Mercado municipal de Orcasitas,12,28026,usera,439392,4469154,40368880585172400,-3715179497757880,market
Mercado municipal de Usera,12,28026,usera,440056,4470962,4038709779232290,-3706253056063660,market
Mercado municipal de Doña Carlota,13,28038,puente de vallecas,444016,4472712,404031383496021,-36597537009742800,market
Mercado municipal de Mediodía - Entrevías,13,28038,puente de vallecas,443191,4469963,4037831782244750,-36692420255769200,market
Mercado municipal de Numancia,13,28038,puente de vallecas,444159,4471630,40393391586979904,-36579853920414496,market
Mercado municipal de Puente de Vallecas,13,28038,puente de vallecas,443332,4471841,4039524554761870,-3667748162837300,market
Mercado municipal de Moratalaz,14,28030,moratalaz,445233,4472902,4040493085829730,-3645440746968980,market
Mercado municipal de Bami,15,28037,ciudad lineal,444410,4475768,40430694913121696,-3655377903084200,market
