Bicyclestop-ID,District_ID,Zipcode,District
458431,5,28002,chamartin
458436,3,28007,retiro
458445,3,28007,retiro
458595,5,28002,chamartin
98491,16,28043,hortaleza
297575,13,28038,puente de vallecas
374749,1,28013,centro
7180027,21,28042,barajas
7180211,16,28043,hortaleza
458412,5,28002,chamartin
458415,5,28002,chamartin
458461,5,28002,chamartin
458466,5,28002,chamartin
458468,5,28002,chamartin
60408,16,28043,hortaleza
65484,16,28043,hortaleza
73114,16,28043,hortaleza
73169,21,28042,barajas
76191,15,28037,ciudad lineal
77008,16,28043,hortaleza
98366,16,28043,hortaleza
98368,16,28043,hortaleza
98562,20,28022,san blas-canillejas
98565,20,28022,san blas-canillejas
147561,4,28001,salamanca
304822,14,28030,moratalaz
7181355,15,28037,ciudad lineal
7182539,20,28022,san blas-canillejas
458510,4,28001,salamanca
458517,3,28007,retiro
458519,3,28007,retiro
458564,4,28001,salamanca
423845,6,28020,tetuan
458498,3,28007,retiro
458532,4,28001,salamanca
458541,4,28001,salamanca
73197,15,28037,ciudad lineal
7099392,4,28001,salamanca
375154,9,28008,moncloa-aravaca
385356,9,28008,moncloa-aravaca
388162,9,28008,moncloa-aravaca
458516,4,28001,salamanca
458518,4,28001,salamanca
458565,4,28001,salamanca
458511,3,28007,retiro
415237,9,28008,moncloa-aravaca
458653,5,28002,chamartin
458654,5,28002,chamartin
458633,5,28002,chamartin
458634,5,28002,chamartin
458640,5,28002,chamartin
458647,5,28002,chamartin
458649,5,28002,chamartin
96328,15,28037,ciudad lineal
96868,16,28043,hortaleza
98693,15,28037,ciudad lineal
98694,15,28037,ciudad lineal
98730,15,28037,ciudad lineal
99109,15,28037,ciudad lineal
458486,4,28001,salamanca
458488,4,28001,salamanca
458522,3,28007,retiro
458525,3,28007,retiro
458551,3,28007,retiro
458556,3,28007,retiro
458558,3,28007,retiro
73187,16,28043,hortaleza
98258,20,28022,san blas-canillejas
98381,16,28043,hortaleza
98386,16,28043,hortaleza
458355,3,28007,retiro
458481,3,28007,retiro
73163,16,28043,hortaleza
76192,15,28037,ciudad lineal
98365,16,28043,hortaleza
98362,16,28043,hortaleza
98561,20,28022,san blas-canillejas
98568,20,28022,san blas-canillejas
297356,18,28031,villa de vallecas
458411,5,28002,chamartin
458416,5,28002,chamartin
458418,5,28002,chamartin
458462,5,28002,chamartin
7099393,4,28001,salamanca
373343,1,28013,centro
88070,15,28037,ciudad lineal
98494,16,28043,hortaleza
434000,9,28008,moncloa-aravaca
458433,5,28002,chamartin
458434,5,28002,chamartin
458447,5,28002,chamartin
458449,5,28002,chamartin
458597,5,28002,chamartin
458599,5,28002,chamartin
457838,3,28007,retiro
457842,3,28007,retiro
458604,5,28002,chamartin
7099394,4,28001,salamanca
458621,5,28002,chamartin
458652,5,28002,chamartin
458655,5,28002,chamartin
94556,20,28022,san blas-canillejas
408905,1,28013,centro
457847,3,28007,retiro
457849,3,28007,retiro
98628,20,28022,san blas-canillejas
458413,5,28002,chamartin
458469,5,28002,chamartin
60409,16,28043,hortaleza
380406,9,28008,moncloa-aravaca
458623,5,28002,chamartin
458650,5,28002,chamartin
458659,5,28002,chamartin
7099395,4,28001,salamanca
458333,3,28007,retiro
458530,4,28001,salamanca
458539,4,28001,salamanca
250416,18,28031,villa de vallecas
458606,5,28002,chamartin
94502,21,28042,barajas
94505,20,28022,san blas-canillejas
95545,15,28037,ciudad lineal
96314,20,28022,san blas-canillejas
98705,15,28037,ciudad lineal
458566,4,28001,salamanca
458568,4,28001,salamanca
75169,16,28043,hortaleza
304820,14,28030,moratalaz
429056,9,28008,moncloa-aravaca
438861,9,28008,moncloa-aravaca
458316,3,28007,retiro
458512,4,28001,salamanca
458531,4,28001,salamanca
458536,4,28001,salamanca
458538,4,28001,salamanca
458542,4,28001,salamanca
65479,15,28037,ciudad lineal
73194,16,28043,hortaleza
76162,20,28022,san blas-canillejas
96057,16,28043,hortaleza
98242,20,28022,san blas-canillejas
458296,3,28007,retiro
458298,3,28007,retiro
458656,5,28002,chamartin
458658,5,28002,chamartin
69314,15,28037,ciudad lineal
94485,21,28042,barajas
94521,20,28022,san blas-canillejas
94528,20,28022,san blas-canillejas
94526,20,28022,san blas-canillejas
94555,20,28022,san blas-canillejas
94552,20,28022,san blas-canillejas
96870,16,28043,hortaleza
96877,16,28043,hortaleza
