Station_id,District_ID,Zipcode,District,coordinate_X,coordinate_Y,Type
38,1,28013,centro,440100,4475360,Metro
175,14,28030,moratalaz,443960,4473846,Metro
7,7,28010,chamberi,440632,4477258,Metro
102,10,28044,latina,434921,4472069,Metro
109,12,28026,usera,440111,4471170,Metro
115,4,28001,salamanca,443392,4475118,Metro
128,10,28044,latina,438409,4474159,Metro
230,3,28007,retiro,438128,4464745,Metro
268,12,28026,usera,441038,4469823,Metro
267,12,28026,usera,440873,4470831,Metro
47,1,28013,centro,440638,4473543,Metro
269,12,28026,usera,441176,4469263,Metro
135,15,28037,ciudad lineal,446390,4475710,Metro
142,7,28010,chamberi,441463,4476838,Metro
150,8,28029,fuencarral-el pardo,439433,4481036,Metro
161,8,28029,fuencarral-el pardo,440145,4482000,Metro
166,5,28002,chamartin,442815,4479575,Metro
52,7,28010,chamberi,439380,4476012,Metro
88,1,28013,centro,440245,4474831,Metro
264,16,28043,hortaleza,444794,4480933,Metro
285,21,28042,barajas,449835,4482717,Metro
154,8,28029,fuencarral-el pardo,438597,4483172,Metro
214,2,28045,arganzuela,426752,4464784,Metro
91,1,28013,centro,439776,4473386,Metro
279,1,28013,centro,446281,4487203,Metro
221,4,28001,salamanca,432197,4459646,Metro
140,5,28002,chamartin,443104,4476946,Metro
197,1,28013,centro,439906,4475278,Metro
145,7,28010,chamberi,439577,4476943,Metro
173,3,28007,retiro,442541,4474625,Metro
5,6,28020,tetuan,440471,4478187,Metro
58,7,28010,chamberi,441493,4475413,Metro
34,1,28013,centro,440787,4474601,Metro
33,1,28013,centro,441152,4474728,Metro
4,6,28020,tetuan,440499,4478625,Metro
300,1,28013,centro,455537,4465984,Metro
108,11,28025,carabanchel,439135,4470901,Metro
159,21,28042,barajas,451828,4480138,Metro
64,5,28002,chamartin,442722,4476804,Metro
121,6,28020,tetuan,440421,4477814,Metro
116,4,28001,salamanca,443344,4475675,Metro
19,13,28038,puente de vallecas,443332,4472377,Metro
291,1,28013,centro,455531,4475043,Metro
144,7,28010,chamberi,440327,4476897,Metro
277,8,28029,fuencarral-el pardo,443963,4485398,Metro
195,7,28010,chamberi,441035,4475762,Metro
45,2,28045,arganzuela,441200,4472935,Metro
137,15,28037,ciudad lineal,445588,4476519,Metro
122,7,28010,chamberi,439706,4477752,Metro
18,3,28007,retiro,442819,4472721,Metro
87,1,28013,centro,440572,4474817,Metro
25,13,28038,puente de vallecas,447082,4470570,Metro
187,8,28029,fuencarral-el pardo,441399,4483147,Metro
2,6,28020,tetuan,441183,4479745,Metro
208,11,28025,carabanchel,437786,4469942,Metro
210,2,28045,arganzuela,430371,4467101,Metro
104,10,28044,latina,436948,4472543,Metro
222,2,28045,arganzuela,433215,4460099,Metro
227,4,28001,salamanca,438740,4462823,Metro
231,5,28002,chamartin,437239,4465592,Metro
233,2,28045,arganzuela,435595,4464492,Metro
253,21,28042,barajas,449742,4478467,Metro
26,18,28031,villa de vallecas,447370,4470283,Metro
179,19,28032,vicalvaro,447364,4472553,Metro
167,5,28002,chamartin,442713,4478964,Metro
132,20,28022,san blas-canillejas,448550,4476201,Metro
117,4,28001,salamanca,443032,4476237,Metro
171,4,28001,salamanca,442484,4475928,Metro
81,4,28001,salamanca,443822,4476002,Metro
190,5,28002,chamartin,441692,4480016,Metro
182,19,28032,vicalvaro,449536,4472679,Metro
158,21,28042,barajas,447868,4479637,Metro
99,11,28025,carabanchel,436347,4470900,Metro
305,6,28020,tetuan,434062,4467986,Metro
323,20,28022,san blas-canillejas,447213,4474579,Metro
322,15,28037,ciudad lineal,445891,4475180,Metro
345,8,28029,fuencarral-el pardo,440026,4483665,Metro
60,4,28001,salamanca,442179,4475365,Metro
65,5,28002,chamartin,442882,4477486,Metro
68,15,28037,ciudad lineal,444472,4478766,Metro
70,16,28043,hortaleza,446224,4479639,Metro
73,16,28043,hortaleza,445417,4481122,Metro
77,15,28037,ciudad lineal,445986,4476781,Metro
90,1,28013,centro,440025,4473855,Metro
98,11,28025,carabanchel,436888,4471277,Metro
183,1,28013,centro,453645,4468818,Metro
62,4,28001,salamanca,442819,4475819,Metro
200,9,28008,moncloa-aravaca,436208,4473507,Metro
12,1,28013,centro,440446,4474473,Metro
35,1,28013,centro,440446,4474470,Metro
48,1,28013,centro,440446,4474466,Metro
120,6,28020,tetuan,441392,4477767,Metro
193,6,28020,tetuan,441392,4477763,Metro
185,1,28013,centro,459545,4463483,Metro
101,10,28044,latina,435153,4471597,Metro
226,3,28007,retiro,437737,4462623,Metro
10,1,28013,centro,440637,4475505,Metro
105,11,28025,carabanchel,437222,4471816,Metro
107,11,28025,carabanchel,438733,4471160,Metro
113,3,28007,retiro,443225,4473352,Metro
123,9,28008,moncloa-aravaca,439101,4477765,Metro
129,10,28044,latina,437413,4473726,Metro
13,1,28013,centro,440323,4473971,Metro
50,9,28008,moncloa-aravaca,439778,4475204,Metro
51,1,28013,centro,439594,4475613,Metro
276,8,28029,fuencarral-el pardo,443392,4484602,Metro
103,9,28008,moncloa-aravaca,435533,4473000,Metro
201,9,28008,moncloa-aravaca,435533,4472996,Metro
78,15,28037,ciudad lineal,445588,4476523,Metro
124,9,28008,moncloa-aravaca,438474,4477451,Metro
146,7,28010,chamberi,439706,4477748,Metro
176,14,28030,moratalaz,444727,4473704,Metro
177,14,28030,moratalaz,445650,4473140,Metro
20,13,28038,puente de vallecas,443747,4472079,Metro
181,19,28032,vicalvaro,448993,4472960,Metro
252,21,28042,barajas,450295,4478943,Metro
15,1,28013,centro,441353,4473575,Metro
16,2,28045,arganzuela,441615,4473322,Metro
36,1,28013,centro,439924,4474612,Metro
57,7,28010,chamberi,441076,4475672,Metro
3,6,28020,tetuan,440909,4479318,Metro
293,18,28031,villa de vallecas,448028,4469234,Metro
30,4,28001,salamanca,442773,4475306,Metro
31,4,28001,salamanca,442414,4475131,Metro
32,3,28007,retiro,441892,4474842,Metro
37,1,28013,centro,440051,4474969,Metro
39,7,28010,chamberi,440261,4475933,Metro
294,18,28031,villa de vallecas,449206,4468453,Metro
295,18,28031,villa de vallecas,449744,4468099,Metro
8,7,28010,chamberi,440825,4476473,Metro
11,1,28013,centro,440572,4474820,Metro
262,5,28002,chamartin,442778,4481108,Metro
127,9,28008,moncloa-aravaca,439002,4474950,Metro
198,9,28008,moncloa-aravaca,439002,4474946,Metro
